Kerala
=============
bolobambam25,https://www.leafly.com/sativa/kerala/reviews/1750974,"“The ever famed Idukki Gold that was Cannabis sativa strain found in India is currently non-existent. Due to huge losses in the early 2000s, this isn't available anymore. 
However, the hybrids of the same are available althroughout Kerala. Of course, you'll have other Indica strains more commonly found in the state that comes in from states like Andhra Pradesh and Odisha in India. But the hybrids produced from the eve...”"
