Space Monster
=============
monstapuss,https://www.leafly.com/indica/space-monster/reviews/1340097,"“Trying this in live resin form. Harsh but nice grape, earthy flavor. Hits beautifully fast! My brain just went blank, I have a huge grin & in no pain after 4 hits. 

Classic couch locking indica!! Will most definitely enjoy this strain at night!! Food...”"
AcademyElite,https://www.leafly.com/indica/space-monster/reviews/1606997,"“I tried this strain in bho shatter form, from a company called "Big bang shatter." 

I dabbed it using a quartz banger and a big shot to heat it. I did a 40sec heat and a 60sec cool. 

From this I experienced a wonderfully sweet on the inhail then a light chemical taste on the exhale  mixed with a candy taste. Kinda of like the candy rockets from Halloween. 
 The effect got me almost imedatly ,this is deffenatly not ...”"
