Wolfberry
=============
ZesterTester,https://www.leafly.com/hybrid/wolfberry/reviews/1602906,"“OMG this strain destroyed my brain lol...
Such a powerful brain high in the beginning 
I felt my brain is out of my head...
But a bit later the more relaxing buzz has come
And made it feel like a more balanced hybrid
With an interesting combination of body high
And powerful cerebral high”"
