Mendo Queen
=============
Karl13x,https://www.leafly.com/hybrid/mendo-queen/reviews/1698699,"“Nice skinny but very dense nugs shining with keef.
The high feels more like a sativa. Slight controllable paranoia. It's not a very heavy high, more upbeat.

Really good weed.”"
