Blue Widow
=============
JDinPHX,https://www.leafly.com/hybrid/blue-widow/reviews/1414024,"“I have debilitating neuropathic pain in my hands and feet from an emergency medical drug called Levophed.  I am facing digital amputations as probable for my future.  

My experience with Blue Widow is that it is THE MOST EFFECTIVE PAIN KILLER for neuropathy ("false nerve pain") of any cannabis strain.  And it does not make me clumsy as do most Indicas.  This is my new favorite, hands down.”"
Alberto8793,https://www.leafly.com/hybrid/blue-widow/reviews/1148523,"“Was incredibly uplifting and relaxing. Relieves muscle tension and gives a clean high that puts you in a good mood and ready for your day! Great strain for a wake and bake”"
Bostonpro,https://www.leafly.com/hybrid/blue-widow/reviews/1684949,"“Very smooth and mild flavor.  Vaped it at 380.  This was one of the first strains to not cause a coughing fit for my wife.”"
redeyedbandit,https://www.leafly.com/hybrid/blue-widow/reviews/1351987,"“was kind of haveing a shitty day, stopped at my dispensery on the way  home, grabbed some of this blue widow. Im at home now sitting on the couch feeling like a million bucks! love it!”"
Yourstonerbro,https://www.leafly.com/hybrid/blue-widow/reviews/1237898,"“one of the best great flavor highly recommend”"
aromero550,https://www.leafly.com/hybrid/blue-widow/reviews/1169304,"“This is by far the smoothest concentrate I've gotten from Minerva Canna Group. Being that concentrates are generally harsher than bud this allowed me to take big, long lasting hits from a bong with a ceramic nail. 
Being that this is definitely a butane-made concentrate, I can't comment on flavors being that everything is masked by the taste of the solvent. 
I'm feeling uplifted and happy now, this seems like it'd be...”"
HazeyQuail,https://www.leafly.com/hybrid/blue-widow/reviews/1103525,"“I'm currently vaping this and I am so happy right now. Great for migraines(had one earlier), pain, and depression(was depressed, now I have a grin on my face.) You've got to try it, vape it if possible :]”"
Alberto8793,https://www.leafly.com/hybrid/blue-widow/reviews/1148523,"“Was incredibly uplifting and relaxing. Relieves muscle tension and gives a clean high that puts you in a good mood and ready for your day! Great strain for a wake and bake”"
ronnie.chancy,https://www.leafly.com/hybrid/blue-widow/reviews/1351997,"“Used mostly for pain relief. Helped me feel euphoric as well, pain relief usually came once euphoria had subsided.”"
JennayDayday26,https://www.leafly.com/hybrid/blue-widow/reviews/1462416,"“Amazing! As soon as I inhaled I got the blueberry hit! So delicious! Calming, smooth, even headed high. Could definitely be a before bedtime strain! Highly recommend for anxiety & depression.”"
ronnie.chancy,https://www.leafly.com/hybrid/blue-widow/reviews/1351997,"“Used mostly for pain relief. Helped me feel euphoric as well, pain relief usually came once euphoria had subsided.”"
Yourstonerbro,https://www.leafly.com/hybrid/blue-widow/reviews/1237898,"“one of the best great flavor highly recommend”"
JennayDayday26,https://www.leafly.com/hybrid/blue-widow/reviews/1462416,"“Amazing! As soon as I inhaled I got the blueberry hit! So delicious! Calming, smooth, even headed high. Could definitely be a before bedtime strain! Highly recommend for anxiety & depression.”"
Stevenspowersports,https://www.leafly.com/hybrid/blue-widow/reviews/1324848,"“Got to try a Test Low temp dab of this stuff at a collective recently. Just wanted to say this is GREAT medicine for back problems. put my lumbar region to sleep even though I walked a couple miles total that day. If you got pain, pick this up!”"
seealdo,https://www.leafly.com/hybrid/blue-widow/reviews/1735658,"“Not bad! I have a spinal cord injury resulting in quadriplegia and chronic pain. My usual delivery method is ingestion in the form of homemade peanutbutter firecrackers.  One cracker with a bowl size pinch dulls the pain and improve my mood substantially for two or three hours. Medication starts to work in about 45 to 60 minutes if I haven't eaten recently.  Smoking Blue Widow is a rather underwhelming experience for...”"
StonedReviews,https://www.leafly.com/hybrid/blue-widow/reviews/1253735,"“Great looking and smelling bud that is full of terps. Nice heavy stoned high with red droopy eyes.”"
emanuel80,https://www.leafly.com/hybrid/blue-widow/reviews/1232523,"“very high as for white widow feel..   this is social.  i have this at 60% thc 43.34 then cbds up there. rellaxing too.”"
skullerymaid,https://www.leafly.com/hybrid/blue-widow/reviews/1358326,"“Starts with a melted face and relaxed body... very hard to focus on stuff... then makes me feel completely worn out. I have no choice but to sleep because my eyes are too heavy, dry and tired to remain open. It's a munchie weed for sure. Reminds me a lot of a heavier OG strain, like Lost Coast or Rugburn.”"
JennayDayday26,https://www.leafly.com/hybrid/blue-widow/reviews/1462416,"“Amazing! As soon as I inhaled I got the blueberry hit! So delicious! Calming, smooth, even headed high. Could definitely be a before bedtime strain! Highly recommend for anxiety & depression.”"
Stevenspowersports,https://www.leafly.com/hybrid/blue-widow/reviews/1324848,"“Got to try a Test Low temp dab of this stuff at a collective recently. Just wanted to say this is GREAT medicine for back problems. put my lumbar region to sleep even though I walked a couple miles total that day. If you got pain, pick this up!”"
seealdo,https://www.leafly.com/hybrid/blue-widow/reviews/1735658,"“Not bad! I have a spinal cord injury resulting in quadriplegia and chronic pain. My usual delivery method is ingestion in the form of homemade peanutbutter firecrackers.  One cracker with a bowl size pinch dulls the pain and improve my mood substantially for two or three hours. Medication starts to work in about 45 to 60 minutes if I haven't eaten recently.  Smoking Blue Widow is a rather underwhelming experience for...”"
redeyedbandit,https://www.leafly.com/hybrid/blue-widow/reviews/1351987,"“was kind of haveing a shitty day, stopped at my dispensery on the way  home, grabbed some of this blue widow. Im at home now sitting on the couch feeling like a million bucks! love it!”"
sgto,https://www.leafly.com/hybrid/blue-widow/reviews/1299656,"“love the taste.  Doesn't burn me out.. nice. ...”"
BostonBaked79,https://www.leafly.com/hybrid/blue-widow/reviews/1275752,"“What a great strain! Unbelievable high. Very good for skeletal pain and anxiety. It acts almost like Valium and narcotic pain killer, but safer! Blue Widow is my new #1. Great taste. Great looking flower too.”"
cateeroo,https://www.leafly.com/hybrid/blue-widow/reviews/1600608,"“I really enjoy this strain! I grabbed an ounce from Spark Dispensary in PDX and I must say, it is one of the most pleasant highs I've ever had! The batch I purchased is about 18.5% THC and it's really perfect for what I need it to do (I have ADHD and a few other things going on)!”"
Torontoker420,https://www.leafly.com/hybrid/blue-widow/reviews/1263612,"“I found the taste of this strain to be a nice blue break from all the kush strains floating around.(
Nice taste decent effect and fantastic smell I will definitely buy this again.”"
baltazarbuzani,https://www.leafly.com/hybrid/blue-widow/reviews/1365458,"“BLUE WIDOW  FLOWERS  LOOK REALLY GOOD
BURNED SLOW ALSO 
HELPED  MY BACK PAIN 
 AND NECK STIFFNESS  RELAX I HAD TO GET  A SECOND LID OF THS BLUE WIDOW”"
Torontoker420,https://www.leafly.com/hybrid/blue-widow/reviews/1263612,"“I found the taste of this strain to be a nice blue break from all the kush strains floating around.(
Nice taste decent effect and fantastic smell I will definitely buy this again.”"
ArmaniAce,https://www.leafly.com/hybrid/blue-widow/reviews/1276265,"“I'd give it a 4.5 but I can't. But take my word. The stuff is solid. It's hard to like a hybrid when your either one or the other, exception made here. I also had a Blue Dream White Widow cross recently, no name deemed. I'm thinking Ghost. White dream, invokes a clear image. Ghost bud! Tell me what you think.”"
Trindler19,https://www.leafly.com/hybrid/blue-widow/reviews/1103489,"“Blue Widow is probably one of my favorites. Really like the way it calms me.”"
Joshy,https://www.leafly.com/hybrid/blue-widow/reviews/1103492,"“The first time I had this strain was 3-4 days ago. I picked up 40$ from a friend's connect and it was very crystallized and dank. This strain hits you hard after a couple hits, depending on whether you smoke repetitively or not. If not, then it's very harsh to the lungs. Overall had good experiences with this high.”"
petenadolski2112,https://www.leafly.com/hybrid/blue-widow/reviews/1213631,"“This Blue Widow is really nice. Has the sweetest grapey taste to it, while the buds look almost blue in color. It's really beautiful. I feel a rush in the head first, followed by a nice relaxation that is pure mellow. I feel just great right now :) You know that feeling? Where you just smile and have no worries? That is what this strain seems to do. So it's very nice. I feel as if Blue Widow could be great for night ...”"
RomeyDidit,https://www.leafly.com/hybrid/blue-widow/reviews/1254315,"“Just smoked a blunt of this, and it's a great high...good for off days, and chill use”"
onsimpleterms,https://www.leafly.com/hybrid/blue-widow/reviews/1562991,"“Had a 1/4 gram dab of Canamo Concentrate Blue Widow shatter. This strain is outstanding! Clear headed, but stoned to the bone. Oh yeah, I might wanna add that this strain is the bomb beneath the sheets. Seriously, it’s a sex strain.”"
2318008,https://www.leafly.com/hybrid/blue-widow/reviews/1586726,"“Tried...And didnt stop for hours.. I have had several back injuries since the age of 14. from fall from height of 2nd story window 3 x, run over by 73 Plymouth satilite.(front tire up right shoulder off left back above hip). plus other things in between. I'm 50 now. no more prescription for over 4 months and have  felt better and better. still have the pain because of injuries, but this stuff works better than anythi...”"
pauljoseph,https://www.leafly.com/hybrid/blue-widow/reviews/1265465,"“good strain when you need to get things done”"
MelodyNicole1992,https://www.leafly.com/hybrid/blue-widow/reviews/1254302,"“decent buzz but very odd smell”"
loweyeshighthoughts,https://www.leafly.com/hybrid/blue-widow/reviews/1230231,"“Being a fan of White Widow when I was in high school I had to grab a gram of this Blue Widow. I am so glad I did. The mix of the blueberry indica & white widow hybrid is perfect. He aroma is sweet, & fruity which is always pleasing. After exhaling I immediately felt the body high rolling along, it felt amazing. Overall I'd definitly recommend you try if you can get your hands on it. 🕷💙”"
Aztokes,https://www.leafly.com/hybrid/blue-widow/reviews/1195939,"“Got this in shatter an man the taste was amazing love it bout to go try out the flower!!”"
mikestang23,https://www.leafly.com/hybrid/blue-widow/reviews/1180319,"“Great feeling. Accurate description!”"
AZHbomb,https://www.leafly.com/hybrid/blue-widow/reviews/1210843,"“This is a tasty Widow strain that provides a find head and body buzz.  Can help you get to sleep and just relax in general.  When ground in a grinder the flower is very kiefy which is great!  Then I discovered that it creates quite a bit of kief in the grinder so that'll be nice to enjoy later.  This is a really nice smooth smoke as well.  The smell is quite nice - almost a piney or balsam quality.”"
sadiephx,https://www.leafly.com/hybrid/blue-widow/reviews/1145521,"“Love this starain! Perfect mental Groove.  Love it all day for productive high”"
sadiephx,https://www.leafly.com/hybrid/blue-widow/reviews/1145521,"“Love this starain! Perfect mental Groove.  Love it all day for productive high”"
Aztokes,https://www.leafly.com/hybrid/blue-widow/reviews/1195939,"“Got this in shatter an man the taste was amazing love it bout to go try out the flower!!”"
baltazarbuzani,https://www.leafly.com/hybrid/blue-widow/reviews/1365458,"“BLUE WIDOW  FLOWERS  LOOK REALLY GOOD
BURNED SLOW ALSO 
HELPED  MY BACK PAIN 
 AND NECK STIFFNESS  RELAX I HAD TO GET  A SECOND LID OF THS BLUE WIDOW”"
recogemoras,https://www.leafly.com/hybrid/blue-widow/reviews/1367628,"“I love this strain to unwind, relax and free the mind. It's amazing for anxiety and it also helps with depression.

Overall this strain is perfect for relaxing and have a good time.”"
greensheep124,https://www.leafly.com/hybrid/blue-widow/reviews/1142321,"“Kind for cures”"
Trindler19,https://www.leafly.com/hybrid/blue-widow/reviews/1103489,"“Blue Widow is probably one of my favorites. Really like the way it calms me.”"
Joshy,https://www.leafly.com/hybrid/blue-widow/reviews/1103492,"“The first time I had this strain was 3-4 days ago. I picked up 40$ from a friend's connect and it was very crystallized and dank. This strain hits you hard after a couple hits, depending on whether you smoke repetitively or not. If not, then it's very harsh to the lungs. Overall had good experiences with this high.”"
petenadolski2112,https://www.leafly.com/hybrid/blue-widow/reviews/1213631,"“This Blue Widow is really nice. Has the sweetest grapey taste to it, while the buds look almost blue in color. It's really beautiful. I feel a rush in the head first, followed by a nice relaxation that is pure mellow. I feel just great right now :) You know that feeling? Where you just smile and have no worries? That is what this strain seems to do. So it's very nice. I feel as if Blue Widow could be great for night ...”"
doobwalker,https://www.leafly.com/hybrid/blue-widow/reviews/1213852,"“Kills my back pain like turning off a switch. Most effective strain I have found.  highly recommended.”"
loweyeshighthoughts,https://www.leafly.com/hybrid/blue-widow/reviews/1230237,"“Being a fan of White Widow when I was in high school I had to grab a gram of this Blue Widow. I am so glad I did. The mix of the blueberry indica & white widow hybrid is perfect. He aroma is sweet, & fruity which is always pleasing. After exhaling I immediately felt the body high rolling along, it felt amazing. Overall I'd definitly recommend you try if you can get your hands on it. 🕷💙”"
jddye7,https://www.leafly.com/hybrid/blue-widow/reviews/1103498,"“Sweet flavor, really good for relaxing and tanking a nap.”"
Captain Cannabis,https://www.leafly.com/hybrid/blue-widow/reviews/1311533,"“Great strain overall. The look on the buds was magnificent. Perfect shape, nice feel, great smell  and covered all over in trichomes. Flavor wise was a bit lacking for me, tasted just like most weed, not anything i could really distinguish but if you try this in concentrate form I'd bet it would have a much nicer flavor profile. Happy toking 😎”"
2318008,https://www.leafly.com/hybrid/blue-widow/reviews/1586726,"“Tried...And didnt stop for hours.. I have had several back injuries since the age of 14. from fall from height of 2nd story window 3 x, run over by 73 Plymouth satilite.(front tire up right shoulder off left back above hip). plus other things in between. I'm 50 now. no more prescription for over 4 months and have  felt better and better. still have the pain because of injuries, but this stuff works better than anythi...”"
polly,https://www.leafly.com/hybrid/blue-widow/reviews/1136775,"“Just not strong enough.”"
bumlick,https://www.leafly.com/hybrid/blue-widow/reviews/1354935,"“Just hit some blue widow shatter out of my pen and it was the bomb.com. Feeling real good my homies!”"
Anonymous,https://www.leafly.com/hybrid/blue-widow/reviews/1103461,"“Good strain, good buzz. Lasts long for experienced users. Feels like you've got bitter beer face with the drymouth factor.”"
h7opolo,https://www.leafly.com/hybrid/blue-widow/reviews/1549788,"“Wow, this strain made me feel like I was in California ripping from that dank green. I felt oh so relaxed, like unaware of my surroundings, in a daze.
This also produced *the MOST VAPOR* of any strain I have used in a long time; extremely potent.
I will definitely get more of this.”"
CnCSmokln,https://www.leafly.com/hybrid/blue-widow/reviews/1221965,"“I really like this strain.”"
sixtyoneseconds,https://www.leafly.com/hybrid/blue-widow/reviews/1103585,"“Great berry aroma and taste, one of my favorites. This strain is great for daytime highs and also conducive to creativity. The sweet blueberry taste also makes it great for beginners to medical marijuana.”"
tayman420,https://www.leafly.com/hybrid/blue-widow/reviews/1135197,"“Awesome strain I loved it smoked amazing had a very nice sweet smell. Took all my pain away made me very relaxed. I Would Give it a 4 out of 5. Taylor #7741”"
svitalec,https://www.leafly.com/hybrid/blue-widow/reviews/1169102,"“good PMS strain”"
kitsapkonnoisseur,https://www.leafly.com/hybrid/blue-widow/reviews/1221750,"“Great evergreen taste and aroma like white widow but balanced with the sativa uplift of blue dream!”"
DonAlejandr0,https://www.leafly.com/hybrid/blue-widow/reviews/1223213,"“I think this is one of the finest herb you can find.”"
MilkyKiller,https://www.leafly.com/hybrid/blue-widow/reviews/1234945,"“A good high I smoke this along with Ace of Spades both very good had me chill laxing on the couch”"
CBSO,https://www.leafly.com/hybrid/blue-widow/reviews/1268166,"“Sweet fruity flavor.”"
Fractal_Sutra108,https://www.leafly.com/hybrid/blue-widow/reviews/1276457,"“I love this widow! it's true, just a little gets you high, but a lot will put you OUT”"
SlickRickTheStick,https://www.leafly.com/hybrid/blue-widow/reviews/1324068,"“I enjoyed this strain. It was testing lower around 18% THCa and was on sale so i picked up an 1/8th plus i was interested in trying a strain with some white genetics for the 1.2% CBGa content and stomach relief. The buds didn't have pistols but were a rich darkish shade of green and were sprinkled heavily in trichomes. The scent that came through to me was a musky-berry scent which was very pleasing to the nose. Vapi...”"
IGdankydez559,https://www.leafly.com/hybrid/blue-widow/reviews/1760310,"“I feel like a peace of butter melting but at the same time I can grow legs and run around very relaxing and clear. 5 stars..”"
SunshineGurl,https://www.leafly.com/hybrid/blue-widow/reviews/1381559,"“Really happy, relaxing high at low doses, at higher doses it can get trippy then outta nowhere she puts you down. Love it! ❤️”"
NatashaAngelina,https://www.leafly.com/hybrid/blue-widow/reviews/1534127,"“On my Top 5 flowers list thus far as #2. Bought @sky dispo in Phoenix. The buds were big, dense with a sweet blueberry skunk aroma. Immediately I felt the effects and I have 20+ yrs as a cannabis consumer. Mellow both body and mind with this amazing strain!!”"
sykessta,https://www.leafly.com/hybrid/blue-widow/reviews/1103462,"“got some of this from my dude it smelled exactly like a grapefruit so it was really sour. as for looks it was really light green with light blue and orange/yellow hairs all over it. we smoked a few bowls and it had us all zoned its a pretty nice smoke when your just tryin to let go and smoke”"
purplecrack,https://www.leafly.com/hybrid/blue-widow/reviews/1103484,"“This strain is one of my favorite to grow!! In fact doing a run now and I have to say that this plant has strong genetics and great for a day and night medication!! Definitely a 9/10”"
Exolight,https://www.leafly.com/hybrid/blue-widow/reviews/1413055,"“Very tough strain in many senses of the word. Will put you in a solid minute coughing spree, but what follows is a very intense cerebral and body experience. I felt like my body was static on a T.V. and my mind was in the clouds, but I was still very able to hold and make conversation. It took roughly 15-20 minutes to fully set in for me, but stayed strong for a good hour, and finally settled into a mellow Indica-lik...”"
JustJG,https://www.leafly.com/hybrid/blue-widow/reviews/1168989,"“Nice taste. Very mellow. A good bit of euphoria then ultra relaxed.”"
EdPhxAz,https://www.leafly.com/hybrid/blue-widow/reviews/1193351,"“Calming”"
Sensimilla420,https://www.leafly.com/hybrid/blue-widow/reviews/1211231,"“Such a mellow high. The combo of White Widow and Blueberry is perfect. Smoking it out of a limited time "Very Berry" blunt is the icing. 
=p
Big, dense, darkish green nugs..
Broken open revealing light green,
coated in trichomes.
Purple/ blueish tips.
To me it smells a bit like grape's..
I'm usually smoking pure sativa's,
or kush..
I've only kept a few hybrids on my list of favorites.
This just made the top 3.”"
mtchyg,https://www.leafly.com/hybrid/blue-widow/reviews/1254046,"“This strain is great. Nice high that isn't too much of a couch lock feel. Had me feeling good all night. No paranoia or anxiety.”"
KindGodess420,https://www.leafly.com/hybrid/blue-widow/reviews/1231431,"“Not blue now!..Oh, so lovely...calm, euphoric bliss...magical medicine for pain and stress!.. peace,beauty,dream...”"
sn0w0wl,https://www.leafly.com/hybrid/blue-widow/reviews/1264694,"“Nice heady smoke with a tangy flavour, great for just about any time of day!”"
4dead2pool0,https://www.leafly.com/hybrid/blue-widow/reviews/1316691,"“I love the smell! My favorite so far! Tastes amazing! Fantastic high !”"
airchilo,https://www.leafly.com/hybrid/blue-widow/reviews/1318763,"“This strain is great!! Strong smell, strong flavor, and kicks your butt. Highly enjoyable for a pain free and mellow time.”"
Bigballer69420,https://www.leafly.com/hybrid/blue-widow/reviews/1708105,"“Smoothest dope I’ve ever smoked. I toke it through my bong and I can’t even feel it hit my throat”"
CyclingAroundU,https://www.leafly.com/hybrid/blue-widow/reviews/1783261,"“I just finished the last of a 3.5g order of Blue Widow flower. I like to wait until I’ve completed the entire order before writing a review. That way, any daily emotion is eliminated. I’m not sad to be done with this strain. I found it uneventful on many fronts. Yes, you get a decent head high, no anxiety or euphoria. But I didn’t look forward to smoking it anymore. The high was uneventful. Much rather have GSC, Gran...”"
Big_JGrass,https://www.leafly.com/hybrid/blue-widow/reviews/1670026,"“This is my morning smoke for lower back and belly pain... smell is CRAZY!!!”"
corbinshouse94,https://www.leafly.com/hybrid/blue-widow/reviews/1144535,"“One of my favorite strains of all time! Bright, powerful, uplifting high with a rich, complex taste. The flowers themselves are beautiful with long pistils and abundant trichomes! Reminds me slightly of Blue Dream due to their shared parenthood. Great strain for day time use.”"
DankGreg,https://www.leafly.com/hybrid/blue-widow/reviews/1103533,"“Fantastic strain, tastes wonderful and kicks like a mule. Smells like crazy when you crack open a nug, almost like a pine-sol household cleaner type smell. It will smell your place up and the neighbors will know what you're up to ! Incredibly potent smoke and a little harsh and expansive on the exhale. I 'm an experienced smoker and I was pretty much whacked after 3 good hits on a joint about 2/3rd's the size of a ci...”"
Vannca,https://www.leafly.com/hybrid/blue-widow/reviews/1103546,"“absolutely love this strain, it has a unique smell and taste that I adore. you dont find a strain like this very often”"
aarfie,https://www.leafly.com/hybrid/blue-widow/reviews/1145509,"“Knocks you in the couch, but also a part of you is alert, euphoric.
The laughs are nice, also.”"
togorman,https://www.leafly.com/hybrid/blue-widow/reviews/1175874,"“tastes great on my vaporizer! Lovely smell too :)”"
Cherrios09,https://www.leafly.com/hybrid/blue-widow/reviews/1191674,"“I didn't feel it helped, tasted great though.”"
boss4romdabay,https://www.leafly.com/hybrid/blue-widow/reviews/1231680,"“for some reason this and I didn't really mix well, felt more sativa dominant so I would have to switch to and indica for night medicating otherwise my insomnia would get the best of me. great flower though, I'm different give it a try you may love it. I really liked it, just didn't LOVE it!”"
offthewall14420,https://www.leafly.com/hybrid/blue-widow/reviews/1243772,"“Love it. Gives a nice euphoric and relaxed feeling. U like to smoke it during or after walks. No couch lock like Blueberry and no anxiety from White Widow.”"
weazal,https://www.leafly.com/hybrid/blue-widow/reviews/1792189,"“Not sure if it’s the old age of the weed or if it’s a major creeper, but it eases in subtly without much mental impact. Similar to cold medicine in the way it provides cozy uplifting mood and slightly disconnected head space. You can feel the high ever so slowly deepening both mentally and physically. The serenity of the widow is a perfect foil to the blue’s racy tendency. The two balance each other in a way that all...”"
Toke2toke,https://www.leafly.com/hybrid/blue-widow/reviews/1264289,"“i found this one to be very effective in helping me get threw the day.  not too harsh, it was easy to get nice big tokes. real nice pick me up.  to me this bud was a real creeper and those i do enjoy”"
Snowleper,https://www.leafly.com/hybrid/blue-widow/reviews/1381893,"“This strain is so damn tasty and nice! The effects are gentle enough for daytime use while retaining function. A nice option for anxiety and stress.”"
greyghost7,https://www.leafly.com/hybrid/blue-widow/reviews/1529176,"“EXCELLENT !
i am what i call a cheap date when it comes to cannabis, i don't need much to get high so i regularly microdose. I must say this is a very potent  strain, it doesn't come on immediately but after 10 minutes you just get hit with a wave of kinda like a "welll helllooo there" feeling. after another 5 minutes it's just completely euphoric, yet your mind is clear enough that you can write without a hassle (wr...”"
cateeroo,https://www.leafly.com/hybrid/blue-widow/reviews/1600608,"“I really enjoy this strain! I grabbed an ounce from Spark Dispensary in PDX and I must say, it is one of the most pleasant highs I've ever had! The batch I purchased is about 18.5% THC and it's really perfect for what I need it to do (I have ADHD and a few other things going on)!”"
smokestakz,https://www.leafly.com/hybrid/blue-widow/reviews/1103583,"“ive been a blue smoker for yeeeeaaaars....by far my fav strain for its consistency in effects. this particular strain of bw i got was fantastic....not quite as narcotical as my all time favs gdp and larry og but deff works fast and stays with me, relieving pain from a broken neck and a tore up shoulder (both were surgically repaired, but many can attest, repaired doesnt mean the pain is anywhere near gone)..im a indi...”"
onsimpleterms,https://www.leafly.com/hybrid/blue-widow/reviews/1562991,"“Had a 1/4 gram dab of Canamo Concentrate Blue Widow shatter. This strain is outstanding! Clear headed, but stoned to the bone. Oh yeah, I might wanna add that this strain is the bomb beneath the sheets. Seriously, it’s a sex strain.”"
JonCK,https://www.leafly.com/hybrid/blue-widow/reviews/1103518,"“I like this one a lot. It was very soothing and was very fast acting.”"
justin420,https://www.leafly.com/hybrid/blue-widow/reviews/1103519,"“One of my favorites by far, strong, helpful, and relaxing,can be overpowering for some people”"
Redone,https://www.leafly.com/hybrid/blue-widow/reviews/1103534,"“It was ok. Nothing amazing. Not bad though. Im waiting to be blown away by a strain and everything is just meh... average.”"
lofi381,https://www.leafly.com/hybrid/blue-widow/reviews/1103549,"“great working relief. relieves stress/muscle spasms. good flavor.”"
morninglory674,https://www.leafly.com/hybrid/blue-widow/reviews/1265441,"“Stellar hybrid!”"
pongokap,https://www.leafly.com/hybrid/blue-widow/reviews/1270026,"“The embodiment of summer time all in one nice smokeable strain. Every time I light up blue window its always a calming dream like state where I'm totally alert, but still drifting aimlessly. This is one of my favorite strains for relaxing, no other strain can make me feel this chill!”"
LyndsT421,https://www.leafly.com/hybrid/blue-widow/reviews/1249266,"“Smells amazing , buds are dense full of crystal. Smooth blueberry tastes upon inhale and nice widow taste exhale. Smoked in the morning to help with my nausea and chronic back pain and works like a charm. It allows me to do my day to day things and not be burnt out. Definite daytime only.”"
foreverinour,https://www.leafly.com/hybrid/blue-widow/reviews/1261103,"“great for me. relaxed. more creative. opens up my mind. Get really hungry and dry mouth eventually.”"
Nazgul420,https://www.leafly.com/hybrid/blue-widow/reviews/1283330,"“Very upbeat and euphoric buzz without the raciness. Perfect for anytime of the day. Definitely has a berry taste and is quite a creeper. It has earned a place in my garden.”"
Sonofabrokenman,https://www.leafly.com/hybrid/blue-widow/reviews/1314916,"“just got paid today. got me a pocket full of change. 
Picked up a cone, tasted so good, smoked it all. Good head effects, hanging out in the full moon light. Nice mellow buzz, little burn on the end. Check cha check check check n it out in Easy Mesa!!”"
KobeRea,https://www.leafly.com/hybrid/blue-widow/reviews/1317656,"“I tried this strain for he first time on a week long break from the and if your being hitched at by someone and can't do anything about it cause they are your boss or your parents they this if you can it is just a separate world but you don't become part of the couch it just let's you relax and think about how green the trees are and how blue the sky is”"
superdopemi,https://www.leafly.com/hybrid/blue-widow/reviews/1347773,"“Classic hard hitting indica dominate strain. Good yields, great smell, and decent tricome production. 

Can't go wrong if you are looking for a chill buzz...”"
nuglugger,https://www.leafly.com/hybrid/blue-widow/reviews/1389297,"“This one makes you think Donald trump has funny twitter posts.  And that it's a good idea to eat lays potato chips while reading his tweets (no thanks blue widow) I can do both those of things with out you..”"
Dat_Dank_Man,https://www.leafly.com/hybrid/blue-widow/reviews/1103544,"“A very nice strain in terms of the nice sweet flavor and the uplifting, happy high. would highly encourage you try it!”"
hkh5,https://www.leafly.com/hybrid/blue-widow/reviews/1143262,"“my favorite for strong pain relief, but it knocks me right out to sleep. really effective for pain and insomnia - intense body-numbing sensation and a little dizzy. didn't give me the munchies which is always a good thing.”"
GreenPie,https://www.leafly.com/hybrid/blue-widow/reviews/1266548,"“Not very strong but I do like the effects. The effects are pretty simple, mellow, relaxing, a little euphoric, and a mild body high. No negatives. If only it were stronger... Which is why I made edibles out of it. Vaping it didn't result in much effect, just a very mild mellowing. To get where I wanted with vaping this I'd have to vape more than I'd want. Drinking home made cannamilk with Blue Widow on the other hand...”"
naturesbest42,https://www.leafly.com/hybrid/blue-widow/reviews/1195327,"“This strain was sweet to the sight, the taste was smooth if one is careful to absorb slowly to avoid any harshness and excess coughing, it took a bit to feel the effect because it was slow coming, but once there, you will know it.”"
pottypotterson,https://www.leafly.com/hybrid/blue-widow/reviews/1216485,"“loved it awesome just awesome calming affects.”"
Omnisense,https://www.leafly.com/hybrid/blue-widow/reviews/1220162,"“Smells great, tastes a bit off in the batch I got.  The taste is something I explore, I can't say it's something I love but it's..... unique.   Great effect.  So for the effect/smell I rate 5 stars.”"
Jcoopuo20,https://www.leafly.com/hybrid/blue-widow/reviews/1231837,"“Nice piney taste with pleasant outdoor aroma. Took two puffs and felt the high immediately. Then decided to write this review, so it keeps you productive. 

Overall, decent high. Keeping my headache under control.”"
T0K3R,https://www.leafly.com/hybrid/blue-widow/reviews/1243204,"“This is a nice day time high. It helps with pain, but does not leave me feeling much of the effects of the indica. The nugs are tight like indica, but it smokes like a sativa. Excellent Blueberry flavor.”"
WedgeAntilles420,https://www.leafly.com/hybrid/blue-widow/reviews/1250160,"“LOVE, LOVE, LOVE this Strain. Great high, great taste, & helps with my nausea. At 17.93% THCA, it's perfect for daytime use, or even nighttime if your a light smoker.”"
Indicaem,https://www.leafly.com/hybrid/blue-widow/reviews/1260636,"“I got this from medicalclub.ca.  This strain has a lovely sweet and earthy taste with sweet and almost pine like smell. It smokes smoothly and doesnt hurt my lungs. However,  I didnt find the effects from this strain to be strong enough for me personally.  It did slow me down a little but I wouldnt call it taking me fully to a state of relaxation, nor did I find it assisted with any pain or anxiety. I also did not fi...”"
ren-chan,https://www.leafly.com/hybrid/blue-widow/reviews/1279795,"“”"
ChelleL,https://www.leafly.com/hybrid/blue-widow/reviews/1747959,"“Nice aroma”"
BrianStrm,https://www.leafly.com/hybrid/blue-widow/reviews/1103574,"“Great for when you're down. It lifts the spirit and lets out nice vibrations in the body.”"
beccathomp23,https://www.leafly.com/hybrid/blue-widow/reviews/1542541,"“Blue widow makes it easier for me to feel relaxed, but not sleepy, so if I'm really anxious or upset it helps soooooo much. Also, just had an operation done and its helping to relieve all of my pain!!!! Thank god for medicinal marijuana.”"
Mykal53,https://www.leafly.com/hybrid/blue-widow/reviews/1523481,"“I love the taste and smell,  happy and relaxing helps Muscle pain.”"
EricOkemow,https://www.leafly.com/hybrid/blue-widow/reviews/1103578,"“Great for pain.”"
