Hoodwreck
=============
tabbymyles,https://www.leafly.com/sativa/hoodwreck/reviews/1323967,"“this shit is fire! great sativa for anyone trying to stay focused and aware of what's going on. highly recommend!”"
samadams,https://www.leafly.com/sativa/hoodwreck/reviews/1323968,"“one of my favorites by far, good all around feeling”"
laclope,https://www.leafly.com/sativa/hoodwreck/reviews/1323966,"“Dam great fucking strain”"
