Bodega Bubblegum
=============
BurninateDabs,https://www.leafly.com/hybrid/bodega-bubblegum/reviews/1576457,"“Form: Terp sauce
THC: 76%
Brand: Canamo

Oh my word. Such a complex aroma/taste that really comes thru in this terp sauce. I can't even begin to explain it. It's like sweet tarts. Now there's some confusion on the labeling, stating it's Indiana Bubble but dispensary had it as Bodega Bubblegum. I can tell it has stardawg in it so it's Bodega for sure. 
Decent level of sedation, I could function right now if I had to. ...”"
