Humboldt
=============
CatalinaBreeze,https://www.leafly.com/hybrid/humboldt-hawaiian/reviews/1603980,"“Intoxicating fresh aroma that is sweet and piney with berry overtones. Smooth inhale. The high is hazy with a "sunken place" type feeling, but calm and relaxing. Good stuff.”"
Omartir1228,https://www.leafly.com/hybrid/humboldt-hawaiian/reviews/1650251,"“Very fresh smell, hits very smooth and really uplifts the mind !”"
