Mauna Kea White
=============
ggizzle86,https://www.leafly.com/hybrid/mauna-kea-white-fire-og/reviews/1718520,"“Yo i had the Mauna Kea Maui Golden shatter from Nature’s medicines and it’s fireee, I am vibing so hard in my car in my lunch break right now, feelin hella confident. 
Plus I think my vagina tingling so that’s a plus #360FeelGoods”"
PuaManaOhana,https://www.leafly.com/hybrid/mauna-kea-white-fire-og/reviews/1733268,"“Aloha Leafly 'Ohana!

Mahalo nui = Huge Thanks for the epic Mauna Kea White Fire OG review!!

We love you!!!

Mauna Kea White Fire OG

(WIFI OG x Pele Fire OG) 



Mauna Kea is often translated literally as "white mountain" because of the snow that covers its summit, but Mauna Kea is a short version of Mauna a Wakea; a name that connects it to the sky Father: Wakea.



Mauna Kea is the tallest mountain on Earth if yo...”"
jgalliart,https://www.leafly.com/hybrid/mauna-kea-white-fire-og/reviews/1696501,"“This strain is one of the best I’ve ever used. The power of the high was amazing, and the flavor was  endlessly great. I recommend this strain.”"
