Royal Tree
=============
Rensalier,https://www.leafly.com/hybrid/royal-tree-sherbet/reviews/1558687,"“I had the opportunity to try on of the Royal Tree Sherbet cartridges recently and it was a real treat. 

Like all the Royal Tree products that I have tried the flavor was great. Their products always taste very "rich" to me - full flavored. 

Sherbet had a distinct woodsy taste kind of like a fine whiskey - if you have ever had the opportunity to sip some good stuff. There was a little citrus in the background as wel...”"
420insure,https://www.leafly.com/hybrid/royal-tree-sherbet/reviews/1497447,"“Yum!”"
