Peach Crescendo
=============
Catdank,https://www.leafly.com/hybrid/peach-crescendo-f-1/reviews/1799545,"“Peach Rings - Indica Hybrid

(sorry couldn't find peach rings in strains so decided to post here)

smells like a freshly open bag of gummy peach rings. flavor profile is nice. light citrus notes. mellow high. overall a great strain to smoke while you're jamming on some red dead redemption...”"
